NFR,Rank,FR,Similarity
NFR1,1,FR33,0.327
NFR1,2,FR11,0.268
NFR1,3,FR54,0.264
NFR1,4,FR9,0.261
NFR1,5,FR45,0.243
NFR1,6,FR59,0.239
NFR1,7,FR47,0.238
NFR1,8,FR14,0.238
NFR1,9,FR46,0.227
NFR1,10,FR16,0.217
NFR2,1,FR59,0.222
NFR2,2,FR1,0.216
NFR2,3,FR58,0.209
NFR2,4,FR7,0.152
NFR2,5,FR38,0.149
NFR2,6,FR23,0.145
NFR2,7,FR21,0.141
NFR2,8,FR39,0.136
NFR2,9,FR19,0.132
NFR2,10,FR9,0.127
NFR3,1,FR18,0.681
NFR3,2,FR24,0.345
NFR3,3,FR23,0.270
NFR3,4,FR21,0.239
NFR3,5,FR34,0.230
NFR3,6,FR5,0.226
NFR3,7,FR19,0.223
NFR3,8,FR17,0.219
NFR3,9,FR55,0.215
NFR3,10,FR20,0.214
