NFR,Rank,FR,Similarity
NFR1,1,FR54,0.164
NFR1,2,FR47,0.160
NFR1,3,FR33,0.159
NFR1,4,FR59,0.151
NFR1,5,FR11,0.147
NFR1,6,FR45,0.138
NFR1,7,FR46,0.128
NFR1,8,FR13,0.118
NFR1,9,FR55,0.117
NFR1,10,FR34,0.106
NFR1,11,FR36,0.105
NFR1,12,FR10,0.101
NFR1,13,FR16,0.101
NFR1,14,FR9,0.098
NFR1,15,FR52,0.084
NFR1,16,FR18,0.083
NFR1,17,FR14,0.082
NFR1,18,FR15,0.081
NFR1,19,FR21,0.075
NFR1,20,FR19,0.073
NFR1,21,FR20,0.067
NFR1,22,FR12,0.059
NFR1,23,FR31,0.057
NFR1,24,FR43,0.055
NFR1,25,FR58,0.055
NFR1,26,FR42,0.054
NFR1,27,FR37,0.053
NFR1,28,FR53,0.053
NFR1,29,FR50,0.047
NFR1,30,FR60,0.044
NFR1,31,FR40,0.043
NFR1,32,FR39,0.043
NFR1,33,FR51,0.042
NFR1,34,FR4,0.039
NFR1,35,FR49,0.037
NFR1,36,FR8,0.036
NFR1,37,FR30,0.035
NFR1,38,FR32,0.034
NFR1,39,FR57,0.032
NFR1,40,FR44,0.029
NFR1,41,FR38,0.027
NFR1,42,FR41,0.027
NFR1,43,FR26,0.019
NFR1,44,FR56,0.017
NFR1,45,FR28,0.009
NFR1,46,FR23,0.008
NFR1,47,FR3,0.007
NFR1,48,FR7,0.007
NFR1,49,FR17,0.007
NFR1,50,FR35,0.006
NFR1,51,FR25,0.006
NFR1,52,FR29,0.006
NFR1,53,FR5,0.006
NFR1,54,FR6,0.005
NFR1,55,FR27,0.005
NFR1,56,FR24,0.005
NFR1,57,FR2,0.005
NFR1,58,FR1,0.005
NFR1,59,FR22,0.004
NFR1,60,FR48,0.003
NFR2,1,FR1,0.138
NFR2,2,FR58,0.130
NFR2,3,FR25,0.124
NFR2,4,FR29,0.124
NFR2,5,FR59,0.111
NFR2,6,FR27,0.111
NFR2,7,FR38,0.095
NFR2,8,FR23,0.091
NFR2,9,FR7,0.084
NFR2,10,FR39,0.082
NFR2,11,FR35,0.071
NFR2,12,FR36,0.066
NFR2,13,FR14,0.066
NFR2,14,FR56,0.057
NFR2,15,FR21,0.049
NFR2,16,FR19,0.047
NFR2,17,FR10,0.045
NFR2,18,FR9,0.044
NFR2,19,FR54,0.043
NFR2,20,FR47,0.042
NFR2,21,FR30,0.037
NFR2,22,FR43,0.037
NFR2,23,FR42,0.036
NFR2,24,FR45,0.036
NFR2,25,FR37,0.036
NFR2,26,FR53,0.036
NFR2,27,FR46,0.033
NFR2,28,FR52,0.032
NFR2,29,FR50,0.032
NFR2,30,FR13,0.031
NFR2,31,FR44,0.030
NFR2,32,FR55,0.030
NFR2,33,FR11,0.030
NFR2,34,FR40,0.029
NFR2,35,FR41,0.029
NFR2,36,FR51,0.028
NFR2,37,FR33,0.028
NFR2,38,FR34,0.028
NFR2,39,FR4,0.026
NFR2,40,FR49,0.025
NFR2,41,FR8,0.024
NFR2,42,FR32,0.023
NFR2,43,FR57,0.022
NFR2,44,FR26,0.021
NFR2,45,FR28,0.010
NFR2,46,FR3,0.008
NFR2,47,FR17,0.007
NFR2,48,FR18,0.006
NFR2,49,FR5,0.006
NFR2,50,FR15,0.006
NFR2,51,FR6,0.005
NFR2,52,FR24,0.005
NFR2,53,FR2,0.005
NFR2,54,FR16,0.005
NFR2,55,FR20,0.005
NFR2,56,FR31,0.005
NFR2,57,FR12,0.005
NFR2,58,FR22,0.004
NFR2,59,FR60,0.004
NFR2,60,FR48,0.003
NFR3,1,FR18,0.528
NFR3,2,FR23,0.191
NFR3,3,FR24,0.166
NFR3,4,FR21,0.160
NFR3,5,FR19,0.155
NFR3,6,FR55,0.153
NFR3,7,FR34,0.148
NFR3,8,FR20,0.142
NFR3,9,FR27,0.125
NFR3,10,FR22,0.119
NFR3,11,FR17,0.092
NFR3,12,FR14,0.084
NFR3,13,FR54,0.082
NFR3,14,FR11,0.082
NFR3,15,FR47,0.080
NFR3,16,FR36,0.080
NFR3,17,FR5,0.077
NFR3,18,FR10,0.077
NFR3,19,FR16,0.077
NFR3,20,FR9,0.074
NFR3,21,FR46,0.074
NFR3,22,FR6,0.071
NFR3,23,FR45,0.069
NFR3,24,FR15,0.061
NFR3,25,FR13,0.059
NFR3,26,FR33,0.054
NFR3,27,FR12,0.045
NFR3,28,FR7,0.033
NFR3,29,FR52,0.032
NFR3,30,FR59,0.031
NFR3,31,FR35,0.028
NFR3,32,FR25,0.026
NFR3,33,FR29,0.026
NFR3,34,FR38,0.024
NFR3,35,FR39,0.023
NFR3,36,FR1,0.021
NFR3,37,FR56,0.014
NFR3,38,FR28,0.007
NFR3,39,FR3,0.006
NFR3,40,FR30,0.005
NFR3,41,FR43,0.005
NFR3,42,FR58,0.005
NFR3,43,FR42,0.005
NFR3,44,FR37,0.005
NFR3,45,FR53,0.005
NFR3,46,FR50,0.004
NFR3,47,FR40,0.004
NFR3,48,FR51,0.004
NFR3,49,FR2,0.004
NFR3,50,FR4,0.003
NFR3,51,FR31,0.003
NFR3,52,FR49,0.003
NFR3,53,FR8,0.003
NFR3,54,FR32,0.003
NFR3,55,FR57,0.003
NFR3,56,FR60,0.003
NFR3,57,FR48,0.002
NFR3,58,FR26,0.000
NFR3,59,FR41,0.000
NFR3,60,FR44,0.000
